文章序號,文章標題,關鍵字,TF (本篇次數),DF (幾篇有它),IDF (稀有度),TF-IDF (最終分數)
144,台灣自來水未加氟，正常塗氟不會危害人體,自來水,10,9,5.0037,0.1253
145,台鐵與高鐵敬老票限年滿65歲使用，未新增60歲長者優惠措施,優惠,16,9,5.0037,0.4393
145,台鐵與高鐵敬老票限年滿65歲使用，未新增60歲長者優惠措施,台鐵,11,3,5.92,0.3573
145,台鐵與高鐵敬老票限年滿65歲使用，未新增60歲長者優惠措施,長者,12,13,4.6672,0.3073
145,台鐵與高鐵敬老票限年滿65歲使用，未新增60歲長者優惠措施,高鐵,9,4,5.6968,0.2813
145,台鐵與高鐵敬老票限年滿65歲使用，未新增60歲長者優惠措施,年滿,7,11,4.8214,0.1852
145,台鐵與高鐵敬老票限年滿65歲使用，未新增60歲長者優惠措施,60,7,15,4.5337,0.1741
145,台鐵與高鐵敬老票限年滿65歲使用，未新增60歲長者優惠措施,票價,5,2,6.2077,0.1703
145,台鐵與高鐵敬老票限年滿65歲使用，未新增60歲長者優惠措施,65,7,18,4.3618,0.1675
145,台鐵與高鐵敬老票限年滿65歲使用，未新增60歲長者優惠措施,半價,4,1,6.6131,0.1452
145,台鐵與高鐵敬老票限年滿65歲使用，未新增60歲長者優惠措施,敬老票,4,1,6.6131,0.1452
146,台電9月起調整底度費，空屋戶帳單2個月增至200元,台電,38,16,4.4731,0.5122
146,台電9月起調整底度費，空屋戶帳單2個月增至200元,度費,17,1,6.6131,0.3387
146,台電9月起調整底度費，空屋戶帳單2個月增至200元,用電,16,3,5.92,0.2854
146,台電9月起調整底度費，空屋戶帳單2個月增至200元,底度費,14,1,6.6131,0.279
146,台電9月起調整底度費，空屋戶帳單2個月增至200元,帳單,14,7,5.2268,0.2205
146,台電9月起調整底度費，空屋戶帳單2個月增至200元,電價,13,6,5.3604,0.21
146,台電9月起調整底度費，空屋戶帳單2個月增至200元,空屋,10,3,5.92,0.1784
146,台電9月起調整底度費，空屋戶帳單2個月增至200元,收取,11,8,5.1091,0.1693
146,台電9月起調整底度費，空屋戶帳單2個月增至200元,調整,14,44,3.4996,0.1476
146,台電9月起調整底度費，空屋戶帳單2個月增至200元,成本,10,22,4.1708,0.1257
147,台電不會用電郵寄送節電獎勵金網站,台電,30,16,4.4731,0.4844
147,台電不會用電郵寄送節電獎勵金網站,獎勵金,21,2,6.2077,0.4705
147,台電不會用電郵寄送節電獎勵金網站,節電,19,1,6.6131,0.4535
147,台電不會用電郵寄送節電獎勵金網站,登錄,15,8,5.1091,0.2766
147,台電不會用電郵寄送節電獎勵金網站,網頁,16,59,3.2119,0.1855
147,台電不會用電郵寄送節電獎勵金網站,1008,7,1,6.6131,0.1671
147,台電不會用電郵寄送節電獎勵金網站,獎勵,7,2,6.2077,0.1568
147,台電不會用電郵寄送節電獎勵金網站,網址,10,41,3.5686,0.1288
147,台電不會用電郵寄送節電獎勵金網站,活動,11,83,2.8755,0.1142
147,台電不會用電郵寄送節電獎勵金網站,電號,5,2,6.2077,0.112
148,吃雞蛋不會導致癌症、心臟病或糖尿病,雞蛋,39,6,5.3604,0.6933
148,吃雞蛋不會導致癌症、心臟病或糖尿病,糖尿病,18,11,4.8214,0.2878
148,吃雞蛋不會導致癌症、心臟病或糖尿病,研究,23,92,2.7737,0.2116
148,吃雞蛋不會導致癌症、心臟病或糖尿病,膽固醇,11,5,5.5145,0.2012
148,吃雞蛋不會導致癌症、心臟病或糖尿病,飲食,15,28,3.939,0.196
148,吃雞蛋不會導致癌症、心臟病或糖尿病,心臟病,9,3,5.92,0.1767
148,吃雞蛋不會導致癌症、心臟病或糖尿病,攝護腺癌,8,1,6.6131,0.1755
148,吃雞蛋不會導致癌症、心臟病或糖尿病,圖卡,11,52,3.336,0.1217
148,吃雞蛋不會導致癌症、心臟病或糖尿病,營養,8,21,4.2152,0.1118
148,吃雞蛋不會導致癌症、心臟病或糖尿病,健康,11,101,2.6813,0.0978
149,吃雞蛋不會導致高膽固醇或引發心血管疾病,雞蛋,25,6,5.3604,0.5803
149,吃雞蛋不會導致高膽固醇或引發心血管疾病,膽固醇,16,5,5.5145,0.382
149,吃雞蛋不會導致高膽固醇或引發心血管疾病,老年人,9,8,5.1091,0.1991
149,吃雞蛋不會導致高膽固醇或引發心血管疾病,心血管,8,22,4.1708,0.1445
149,吃雞蛋不會導致高膽固醇或引發心血管疾病,消化,7,12,4.7413,0.1437
149,吃雞蛋不會導致高膽固醇或引發心血管疾病,炒蛋,5,1,6.6131,0.1432
149,吃雞蛋不會導致高膽固醇或引發心血管疾病,健康,12,101,2.6813,0.1393
149,吃雞蛋不會導致高膽固醇或引發心血管疾病,沙門氏菌,5,2,6.2077,0.1344
149,吃雞蛋不會導致高膽固醇或引發心血管疾病,黃淑惠,6,16,4.4731,0.1162
149,吃雞蛋不會導致高膽固醇或引發心血管疾病,半熟蛋,4,1,6.6131,0.1145
150,吃麥香雞漢堡不會造成酒測超標或構成酒駕,酒精,35,7,5.2268,0.5698
150,吃麥香雞漢堡不會造成酒測超標或構成酒駕,酒測,22,1,6.6131,0.4532
150,吃麥香雞漢堡不會造成酒測超標或構成酒駕,麥香雞,16,1,6.6131,0.3296
150,吃麥香雞漢堡不會造成酒測超標或構成酒駕,漢堡,11,2,6.2077,0.2127
150,吃麥香雞漢堡不會造成酒測超標或構成酒駕,酒駕,8,1,6.6131,0.1648
150,吃麥香雞漢堡不會造成酒測超標或構成酒駕,開車,8,2,6.2077,0.1547
150,吃麥香雞漢堡不會造成酒測超標或構成酒駕,超標,10,13,4.6672,0.1454
150,吃麥香雞漢堡不會造成酒測超標或構成酒駕,漱口,8,6,5.3604,0.1336
150,吃麥香雞漢堡不會造成酒測超標或構成酒駕,咀嚼,6,2,6.2077,0.116
150,吃麥香雞漢堡不會造成酒測超標或構成酒駕,澱粉,7,7,5.2268,0.114
151,吳敦義2017年的兩岸言論被放到近期時事脈絡下討論,吳敦義,27,1,6.6131,0.8039
151,吳敦義2017年的兩岸言論被放到近期時事脈絡下討論,國民黨,8,22,4.1708,0.1502
151,吳敦義2017年的兩岸言論被放到近期時事脈絡下討論,黨職,5,1,6.6131,0.1489
151,吳敦義2017年的兩岸言論被放到近期時事脈絡下討論,主席,7,14,4.5982,0.1449
151,吳敦義2017年的兩岸言論被放到近期時事脈絡下討論,2017年,8,26,4.0104,0.1444
151,吳敦義2017年的兩岸言論被放到近期時事脈絡下討論,遣送回,5,2,6.2077,0.1397
151,吳敦義2017年的兩岸言論被放到近期時事脈絡下討論,真心話,4,1,6.6131,0.1191
151,吳敦義2017年的兩岸言論被放到近期時事脈絡下討論,統人,4,1,6.6131,0.1191
151,吳敦義2017年的兩岸言論被放到近期時事脈絡下討論,公職,5,7,5.2268,0.1177
151,吳敦義2017年的兩岸言論被放到近期時事脈絡下討論,訪談,5,7,5.2268,0.1177
152,國軍化學兵光復鄉環境消毒，使用稀釋過後的漂白水,漂白水,16,2,6.2077,0.4463
152,國軍化學兵光復鄉環境消毒，使用稀釋過後的漂白水,消毒,19,7,5.2268,0.4462
152,國軍化學兵光復鄉環境消毒，使用稀釋過後的漂白水,稀釋,14,4,5.6968,0.3584
152,國軍化學兵光復鄉環境消毒，使用稀釋過後的漂白水,化學兵,12,1,6.6131,0.3566
152,國軍化學兵光復鄉環境消毒，使用稀釋過後的漂白水,殺蟲劑,5,1,6.6131,0.1486
152,國軍化學兵光復鄉環境消毒，使用稀釋過後的漂白水,國軍,8,25,4.0482,0.1455
152,國軍化學兵光復鄉環境消毒，使用稀釋過後的漂白水,毒性,7,16,4.4731,0.1407
152,國軍化學兵光復鄉環境消毒，使用稀釋過後的漂白水,環境,8,61,3.1791,0.1143
152,國軍化學兵光復鄉環境消毒，使用稀釋過後的漂白水,噴灑,4,3,5.92,0.1064
152,國軍化學兵光復鄉環境消毒，使用稀釋過後的漂白水,救災,5,13,4.6672,0.1049
153,國軍服裝走秀為高中生招募宣傳，非「閱兵」活動,閱兵,21,9,5.0037,0.4783
153,國軍服裝走秀為高中生招募宣傳，非「閱兵」活動,走秀,14,2,6.2077,0.3956
153,國軍服裝走秀為高中生招募宣傳，非「閱兵」活動,軍服,10,2,6.2077,0.2826
153,國軍服裝走秀為高中生招募宣傳，非「閱兵」活動,國軍,14,25,4.0482,0.258
153,國軍服裝走秀為高中生招募宣傳，非「閱兵」活動,高中生,8,2,6.2077,0.226
153,國軍服裝走秀為高中生招募宣傳，非「閱兵」活動,活動,16,83,2.8755,0.2094
153,國軍服裝走秀為高中生招募宣傳，非「閱兵」活動,招募,7,8,5.1091,0.1628
153,國軍服裝走秀為高中生招募宣傳，非「閱兵」活動,九三,6,3,5.92,0.1617
153,國軍服裝走秀為高中生招募宣傳，非「閱兵」活動,展演,5,3,5.92,0.1347
153,國軍服裝走秀為高中生招募宣傳，非「閱兵」活動,體驗,5,4,5.6968,0.1296
154,國道南投服務區設有機動測速，網傳全台服務區都有設置為錯,測速,16,4,5.6968,0.4447
154,國道南投服務區設有機動測速，網傳全台服務區都有設置為錯,服務區,13,2,6.2077,0.3937
154,國道南投服務區設有機動測速，網傳全台服務區都有設置為錯,超速,13,5,5.5145,0.3497
154,國道南投服務區設有機動測速，網傳全台服務區都有設置為錯,南投,9,4,5.6968,0.2501
154,國道南投服務區設有機動測速，網傳全台服務區都有設置為錯,休息站,7,2,6.2077,0.212
154,國道南投服務區設有機動測速，網傳全台服務區都有設置為錯,取締,8,6,5.3604,0.2092
154,國道南投服務區設有機動測速，網傳全台服務區都有設置為錯,罰鍰,9,16,4.4731,0.1964
154,國道南投服務區設有機動測速，網傳全台服務區都有設置為錯,公里,8,18,4.3618,0.1702
154,國道南投服務區設有機動測速，網傳全台服務區都有設置為錯,照相,6,4,5.6968,0.1668
154,國道南投服務區設有機動測速，網傳全台服務區都有設置為錯,40,7,27,3.9741,0.1357
155,在身上配戴蜻蜓模型沒有驅蚊效果,蜻蜓,15,1,6.6131,0.5378
155,在身上配戴蜻蜓模型沒有驅蚊效果,蚊子,15,2,6.2077,0.5048
155,在身上配戴蜻蜓模型沒有驅蚊效果,叮咬,8,3,5.92,0.2568
155,在身上配戴蜻蜓模型沒有驅蚊效果,模型,9,17,4.4159,0.2155
155,在身上配戴蜻蜓模型沒有驅蚊效果,氣味,6,4,5.6968,0.1853
155,在身上配戴蜻蜓模型沒有驅蚊效果,二氧化碳,6,6,5.3604,0.1744
155,在身上配戴蜻蜓模型沒有驅蚊效果,視覺,5,4,5.6968,0.1544
155,在身上配戴蜻蜓模型沒有驅蚊效果,配戴,5,6,5.3604,0.1453
155,在身上配戴蜻蜓模型沒有驅蚊效果,驅蚊,4,1,6.6131,0.1434
155,在身上配戴蜻蜓模型沒有驅蚊效果,鎖定,5,10,4.9084,0.1331
156,地面紅水非光電板污染，而是鐵板生鏽與土壤腐植酸混合所致,光電板,43,14,4.5982,0.65
156,地面紅水非光電板污染，而是鐵板生鏽與土壤腐植酸混合所致,水庫,16,10,4.9084,0.2582
156,地面紅水非光電板污染，而是鐵板生鏽與土壤腐植酸混合所致,鏽蝕,9,1,6.6131,0.1957
156,地面紅水非光電板污染，而是鐵板生鏽與土壤腐植酸混合所致,紅水,9,2,6.2077,0.1837
156,地面紅水非光電板污染，而是鐵板生鏽與土壤腐植酸混合所致,污染,13,26,4.0104,0.1714
156,地面紅水非光電板污染，而是鐵板生鏽與土壤腐植酸混合所致,風災,9,9,5.0037,0.148
156,地面紅水非光電板污染，而是鐵板生鏽與土壤腐植酸混合所致,液體,8,6,5.3604,0.141
156,地面紅水非光電板污染，而是鐵板生鏽與土壤腐植酸混合所致,烏山頭,8,7,5.2268,0.1375
156,地面紅水非光電板污染，而是鐵板生鏽與土壤腐植酸混合所致,太陽能,8,10,4.9084,0.1291
156,地面紅水非光電板污染，而是鐵板生鏽與土壤腐植酸混合所致,腐植酸,6,2,6.2077,0.1224
157,塗抹香蕉汁液無法治療帶狀疱疹，且可能傷口感染,帶狀,22,1,6.6131,0.4766
157,塗抹香蕉汁液無法治療帶狀疱疹，且可能傷口感染,疱疹,21,1,6.6131,0.455
157,塗抹香蕉汁液無法治療帶狀疱疹，且可能傷口感染,汁液,22,2,6.2077,0.4474
157,塗抹香蕉汁液無法治療帶狀疱疹，且可能傷口感染,香蕉,21,3,5.92,0.4073
157,塗抹香蕉汁液無法治療帶狀疱疹，且可能傷口感染,塗抹,9,4,5.6968,0.168
157,塗抹香蕉汁液無法治療帶狀疱疹，且可能傷口感染,治療,14,39,3.6174,0.1659
157,塗抹香蕉汁液無法治療帶狀疱疹，且可能傷口感染,感染,8,29,3.9051,0.1023
157,塗抹香蕉汁液無法治療帶狀疱疹，且可能傷口感染,傷口,5,6,5.3604,0.0878
157,塗抹香蕉汁液無法治療帶狀疱疹，且可能傷口感染,朱家瑜,4,1,6.6131,0.0867
157,塗抹香蕉汁液無法治療帶狀疱疹，且可能傷口感染,水泡,4,2,6.2077,0.0813
158,外籍生受訪畫面遭誤傳為「台灣徵兵困難 黑人入選國軍」,史瓦帝尼,7,1,6.6131,0.3703
158,外籍生受訪畫面遭誤傳為「台灣徵兵困難 黑人入選國軍」,外籍生,7,1,6.6131,0.3703
158,外籍生受訪畫面遭誤傳為「台灣徵兵困難 黑人入選國軍」,官校,7,2,6.2077,0.3476
158,外籍生受訪畫面遭誤傳為「台灣徵兵困難 黑人入選國軍」,畢業,6,4,5.6968,0.2734
158,外籍生受訪畫面遭誤傳為「台灣徵兵困難 黑人入選國軍」,國軍,8,25,4.0482,0.2591
158,外籍生受訪畫面遭誤傳為「台灣徵兵困難 黑人入選國軍」,陸軍,7,22,4.1708,0.2335
158,外籍生受訪畫面遭誤傳為「台灣徵兵困難 黑人入選國軍」,任官,4,1,6.6131,0.2116
158,外籍生受訪畫面遭誤傳為「台灣徵兵困難 黑人入選國軍」,入選,3,1,6.6131,0.1587
158,外籍生受訪畫面遭誤傳為「台灣徵兵困難 黑人入選國軍」,瑟菲爾,3,1,6.6131,0.1587
158,外籍生受訪畫面遭誤傳為「台灣徵兵困難 黑人入選國軍」,徵兵,3,2,6.2077,0.149
159,大樹藥局無中資，社群討論挪用無關資料造謠,中資,31,5,5.5145,0.4833
159,大樹藥局無中資，社群討論挪用無關資料造謠,藥局,26,2,6.2077,0.4563
159,大樹藥局無中資，社群討論挪用無關資料造謠,大樹,22,1,6.6131,0.4113
159,大樹藥局無中資，社群討論挪用無關資料造謠,投資,31,34,3.7509,0.3287
159,大樹藥局無中資，社群討論挪用無關資料造謠,股東,14,2,6.2077,0.2457
159,大樹藥局無中資，社群討論挪用無關資料造謠,法人,11,8,5.1091,0.1589
159,大樹藥局無中資，社群討論挪用無關資料造謠,董事會,7,2,6.2077,0.1228
159,大樹藥局無中資，社群討論挪用無關資料造謠,自然人,6,1,6.6131,0.1122
159,大樹藥局無中資，社群討論挪用無關資料造謠,中國,15,165,2.1943,0.093
159,大樹藥局無中資，社群討論挪用無關資料造謠,中華民國,7,25,4.0482,0.0801
160,大罷免投票通知單會在投票日兩天前送達,通知單,25,8,5.1091,0.5991
160,大罷免投票通知單會在投票日兩天前送達,投票,31,25,4.0482,0.5886
160,大罷免投票通知單會在投票日兩天前送達,選民,8,6,5.3604,0.2011
160,大罷免投票通知單會在投票日兩天前送達,投票日,7,11,4.8214,0.1583
160,大罷免投票通知單會在投票日兩天前送達,選舉,7,17,4.4159,0.145
160,大罷免投票通知單會在投票日兩天前送達,罷免案,6,18,4.3618,0.1228
160,大罷免投票通知單會在投票日兩天前送達,罷免,6,19,4.3105,0.1213
160,大罷免投票通知單會在投票日兩天前送達,中選會,5,13,4.6672,0.1095
160,大罷免投票通知單會在投票日兩天前送達,身分證,5,21,4.2152,0.0989
160,大罷免投票通知單會在投票日兩天前送達,劉嘉薇,3,1,6.6131,0.0931
161,天安門升旗典禮畫面遭錯稱為中國大學生抗議,天安門,14,2,6.2077,0.5312
161,天安門升旗典禮畫面遭錯稱為中國大學生抗議,升旗,10,1,6.6131,0.4042
161,天安門升旗典禮畫面遭錯稱為中國大學生抗議,北京,10,11,4.8214,0.2947
161,天安門升旗典禮畫面遭錯稱為中國大學生抗議,廣場,8,5,5.5145,0.2697
161,天安門升旗典禮畫面遭錯稱為中國大學生抗議,典禮,9,11,4.8214,0.2652
161,天安門升旗典禮畫面遭錯稱為中國大學生抗議,抗議,9,14,4.5982,0.253
161,天安門升旗典禮畫面遭錯稱為中國大學生抗議,下台,4,4,5.6968,0.1393
161,天安門升旗典禮畫面遭錯稱為中國大學生抗議,大學生,4,4,5.6968,0.1393
161,天安門升旗典禮畫面遭錯稱為中國大學生抗議,30萬,3,2,6.2077,0.1138
161,天安門升旗典禮畫面遭錯稱為中國大學生抗議,增派,3,2,6.2077,0.1138
162,太陽能光電板可拆解且9成材料可再利用，但回收效益待提升,光電板,53,14,4.5982,0.5484
162,太陽能光電板可拆解且9成材料可再利用，但回收效益待提升,回收,33,6,5.3604,0.3981
162,太陽能光電板可拆解且9成材料可再利用，但回收效益待提升,太陽能,30,10,4.9084,0.3314
162,太陽能光電板可拆解且9成材料可再利用，但回收效益待提升,拆解,20,2,6.2077,0.2794
162,太陽能光電板可拆解且9成材料可再利用，但回收效益待提升,玻璃,18,8,5.1091,0.207
162,太陽能光電板可拆解且9成材料可再利用，但回收效益待提升,廢棄,14,8,5.1091,0.161
162,太陽能光電板可拆解且9成材料可再利用，但回收效益待提升,材料,15,13,4.6672,0.1575
162,太陽能光電板可拆解且9成材料可再利用，但回收效益待提升,處理,17,62,3.1631,0.121
162,太陽能光電板可拆解且9成材料可再利用，但回收效益待提升,業者,15,48,3.4145,0.1153
162,太陽能光電板可拆解且9成材料可再利用，但回收效益待提升,掩埋,8,5,5.5145,0.0993
163,央行尚未公布新鈔設計，網傳圖片是2018年民間作品,鈔券,20,4,5.6968,0.5854
163,央行尚未公布新鈔設計，網傳圖片是2018年民間作品,新台幣,13,24,4.0874,0.273
163,央行尚未公布新鈔設計，網傳圖片是2018年民間作品,改版,8,3,5.92,0.2433
163,央行尚未公布新鈔設計，網傳圖片是2018年民間作品,比賽,9,9,5.0037,0.2314
163,央行尚未公布新鈔設計，網傳圖片是2018年民間作品,作品,7,4,5.6968,0.2049
163,央行尚未公布新鈔設計，網傳圖片是2018年民間作品,新鈔,6,1,6.6131,0.2039
163,央行尚未公布新鈔設計，網傳圖片是2018年民間作品,新版,7,6,5.3604,0.1928
163,央行尚未公布新鈔設計，網傳圖片是2018年民間作品,設計,10,47,3.4351,0.1765
163,央行尚未公布新鈔設計，網傳圖片是2018年民間作品,主題,9,38,3.6427,0.1684
163,央行尚未公布新鈔設計，網傳圖片是2018年民間作品,央行,6,10,4.9084,0.1513
164,央行總裁楊金龍沒有示警美債倒債,美債,42,3,5.92,0.5846
164,央行總裁楊金龍沒有示警美債倒債,楊金龍,31,3,5.92,0.4315
164,央行總裁楊金龍沒有示警美債倒債,零息,18,1,6.6131,0.2799
164,央行總裁楊金龍沒有示警美債倒債,倒債,15,1,6.6131,0.2332
164,央行總裁楊金龍沒有示警美債倒債,金融,20,26,4.0104,0.1886
164,央行總裁楊金龍沒有示警美債倒債,鄭正鈐,12,1,6.6131,0.1866
164,央行總裁楊金龍沒有示警美債倒債,美國,27,181,2.1023,0.1334
164,央行總裁楊金龍沒有示警美債倒債,轉換,11,9,5.0037,0.1294
164,央行總裁楊金龍沒有示警美債倒債,總裁,10,7,5.2268,0.1229
164,央行總裁楊金龍沒有示警美債倒債,傳聞,9,4,5.6968,0.1205
165,奇美醫院例行藝文表演遭誤傳為迎接賴清德,奇美,18,5,5.5145,0.4631
165,奇美醫院例行藝文表演遭誤傳為迎接賴清德,柳營,11,1,6.6131,0.3394
165,奇美醫院例行藝文表演遭誤傳為迎接賴清德,醫院,22,68,3.0722,0.3153
165,奇美醫院例行藝文表演遭誤傳為迎接賴清德,尚勇,8,1,6.6131,0.2468
165,奇美醫院例行藝文表演遭誤傳為迎接賴清德,探視,8,2,6.2077,0.2317
165,奇美醫院例行藝文表演遭誤傳為迎接賴清德,總統,17,100,2.6912,0.2134
165,奇美醫院例行藝文表演遭誤傳為迎接賴清德,表演,8,9,5.0037,0.1867
165,奇美醫院例行藝文表演遭誤傳為迎接賴清德,歡迎,7,6,5.3604,0.175
165,奇美醫院例行藝文表演遭誤傳為迎接賴清德,音樂會,5,1,6.6131,0.1543
165,奇美醫院例行藝文表演遭誤傳為迎接賴清德,大廳,5,2,6.2077,0.1448
166,好萊塢標誌著火照是AI生成,好萊塢,24,2,6.2077,0.6912
166,好萊塢標誌著火照是AI生成,標誌,22,24,4.0874,0.4172
166,好萊塢標誌著火照是AI生成,著火,8,2,6.2077,0.2304
166,好萊塢標誌著火照是AI生成,野火,7,6,5.3604,0.1741
166,好萊塢標誌著火照是AI生成,洛杉磯,7,8,5.1091,0.1659
166,好萊塢標誌著火照是AI生成,機器人,6,5,5.5145,0.1535
166,好萊塢標誌著火照是AI生成,grok,5,1,6.6131,0.1534
166,好萊塢標誌著火照是AI生成,ai,9,108,2.6149,0.1092
166,好萊塢標誌著火照是AI生成,消防局,4,9,5.0037,0.0929
166,好萊塢標誌著火照是AI生成,山丘,3,1,6.6131,0.092
167,媒體「未成年變性」報導 錯誤曲解衛福部指引,性別,74,5,5.5145,0.6948
167,媒體「未成年變性」報導 錯誤曲解衛福部指引,手術,54,10,4.9084,0.4513
167,媒體「未成年變性」報導 錯誤曲解衛福部指引,指引,28,14,4.5982,0.2192
167,媒體「未成年變性」報導 錯誤曲解衛福部指引,陰陽人,17,1,6.6131,0.1914
167,媒體「未成年變性」報導 錯誤曲解衛福部指引,成年,19,8,5.1091,0.1653
167,媒體「未成年變性」報導 錯誤曲解衛福部指引,醫療,26,39,3.6174,0.1601
167,媒體「未成年變性」報導 錯誤曲解衛福部指引,照護,12,7,5.2268,0.1068
167,媒體「未成年變性」報導 錯誤曲解衛福部指引,變性,11,5,5.5145,0.1033
167,媒體「未成年變性」報導 錯誤曲解衛福部指引,認同,10,5,5.5145,0.0939
167,媒體「未成年變性」報導 錯誤曲解衛福部指引,生理,11,11,4.8214,0.0903
168,媒體報導「聞臭屁可以預防阿茲海默症」是誇大解讀研究結果,硫化氫,32,1,6.6131,0.7053
168,媒體報導「聞臭屁可以預防阿茲海默症」是誇大解讀研究結果,研究,28,92,2.7737,0.2588
168,媒體報導「聞臭屁可以預防阿茲海默症」是誇大解讀研究結果,老鼠,9,5,5.5145,0.1654
168,媒體報導「聞臭屁可以預防阿茲海默症」是誇大解讀研究結果,大腦,9,8,5.1091,0.1532
168,媒體報導「聞臭屁可以預防阿茲海默症」是誇大解讀研究結果,臭屁,6,1,6.6131,0.1322
168,媒體報導「聞臭屁可以預防阿茲海默症」是誇大解讀研究結果,阿茲海默症,7,5,5.5145,0.1286
168,媒體報導「聞臭屁可以預防阿茲海默症」是誇大解讀研究結果,醫學院,8,12,4.7413,0.1264
168,媒體報導「聞臭屁可以預防阿茲海默症」是誇大解讀研究結果,約翰霍普金斯,6,2,6.2077,0.1241
168,媒體報導「聞臭屁可以預防阿茲海默症」是誇大解讀研究結果,失智症,7,7,5.2268,0.1219
168,媒體報導「聞臭屁可以預防阿茲海默症」是誇大解讀研究結果,氣體,7,7,5.2268,0.1219
169,媒體報導誤用無關畫面稱是台南地震,地震,12,20,4.2618,0.3952
169,媒體報導誤用無關畫面稱是台南地震,民宅,11,14,4.5982,0.3909
169,媒體報導誤用無關畫面稱是台南地震,楠西區,7,2,6.2077,0.3358
169,媒體報導誤用無關畫面稱是台南地震,倒塌,9,13,4.6672,0.3246
169,媒體報導誤用無關畫面稱是台南地震,1月,9,107,2.6241,0.1825
169,媒體報導誤用無關畫面稱是台南地震,21日,6,31,3.8405,0.1781
169,媒體報導誤用無關畫面稱是台南地震,台南,5,19,4.3105,0.1665
169,媒體報導誤用無關畫面稱是台南地震,台南市,4,7,5.2268,0.1616
169,媒體報導誤用無關畫面稱是台南地震,三重,3,1,6.6131,0.1533
169,媒體報導誤用無關畫面稱是台南地震,三重區,3,1,6.6131,0.1533
170,媒體錯誤使用AI圖片報導達美航空事故,飛機,14,17,4.4159,0.4561
170,媒體錯誤使用AI圖片報導達美航空事故,達美,9,2,6.2077,0.4121
170,媒體錯誤使用AI圖片報導達美航空事故,圖片,16,91,2.7845,0.3287
170,媒體錯誤使用AI圖片報導達美航空事故,航空,9,13,4.6672,0.3099
170,媒體錯誤使用AI圖片報導達美航空事故,生成,10,93,2.763,0.2038
170,媒體錯誤使用AI圖片報導達美航空事故,失事,5,6,5.3604,0.1977
170,媒體錯誤使用AI圖片報導達美航空事故,ai,10,108,2.6149,0.1929
170,媒體錯誤使用AI圖片報導達美航空事故,機身,4,3,5.92,0.1747
170,媒體錯誤使用AI圖片報導達美航空事故,翻覆,3,2,6.2077,0.1374
170,媒體錯誤使用AI圖片報導達美航空事故,畫面,9,205,1.9784,0.1314
171,小心假冒台電公司的詐騙網站,台電,19,16,4.4731,0.5656
171,小心假冒台電公司的詐騙網站,郵件,10,28,3.939,0.2621
171,小心假冒台電公司的詐騙網站,電子,9,37,3.6687,0.2197
171,小心假冒台電公司的詐騙網站,詐騙,13,124,2.478,0.2144
171,小心假冒台電公司的詐騙網站,電費,6,7,5.2268,0.2087
171,小心假冒台電公司的詐騙網站,電號,5,2,6.2077,0.2065
171,小心假冒台電公司的詐騙網站,欠繳,4,3,5.92,0.1576
171,小心假冒台電公司的詐騙網站,連結,9,112,2.5789,0.1545
171,小心假冒台電公司的詐騙網站,地址,5,23,4.1282,0.1374
171,小心假冒台電公司的詐騙網站,網站,9,159,2.2311,0.1336
172,小心！假冒二手票券平台詐騙連結在網路流傳，企圖竊取個資,票券,15,3,5.92,0.4951
172,小心！假冒二手票券平台詐騙連結在網路流傳，企圖竊取個資,轉讓,10,4,5.6968,0.3176
172,小心！假冒二手票券平台詐騙連結在網路流傳，企圖竊取個資,二手,8,1,6.6131,0.295
172,小心！假冒二手票券平台詐騙連結在網路流傳，企圖竊取個資,官方,15,141,2.3504,0.1966
172,小心！假冒二手票券平台詐騙連結在網路流傳，企圖竊取個資,票亮,5,1,6.6131,0.1844
172,小心！假冒二手票券平台詐騙連結在網路流傳，企圖竊取個資,go,5,2,6.2077,0.1731
172,小心！假冒二手票券平台詐騙連結在網路流傳，企圖竊取個資,交易,7,19,4.3105,0.1682
172,小心！假冒二手票券平台詐騙連結在網路流傳，企圖竊取個資,網址,8,41,3.5686,0.1592
172,小心！假冒二手票券平台詐騙連結在網路流傳，企圖竊取個資,詐騙,10,124,2.478,0.1382
172,小心！假冒二手票券平台詐騙連結在網路流傳，企圖竊取個資,網站,11,159,2.2311,0.1368
173,小心！偽冒粉專假借「義賣運動衣助花蓮」名義詐財,摩曼頓,10,1,6.6131,0.4225
173,小心！偽冒粉專假借「義賣運動衣助花蓮」名義詐財,花蓮,13,17,4.4159,0.3668
173,小心！偽冒粉專假借「義賣運動衣助花蓮」名義詐財,中正店,8,1,6.6131,0.338
173,小心！偽冒粉專假借「義賣運動衣助花蓮」名義詐財,粉專,12,36,3.6954,0.2833
173,小心！偽冒粉專假借「義賣運動衣助花蓮」名義詐財,名義,8,39,3.6174,0.1849
173,小心！偽冒粉專假借「義賣運動衣助花蓮」名義詐財,偽冒,6,12,4.7413,0.1817
173,小心！偽冒粉專假借「義賣運動衣助花蓮」名義詐財,愛迪達,4,1,6.6131,0.169
173,小心！偽冒粉專假借「義賣運動衣助花蓮」名義詐財,長袖,4,2,6.2077,0.1586
173,小心！偽冒粉專假借「義賣運動衣助花蓮」名義詐財,災區,4,7,5.2268,0.1336
173,小心！偽冒粉專假借「義賣運動衣助花蓮」名義詐財,義賣,3,1,6.6131,0.1268
